"Наименование(регион или город)";"URL имя";"Разрешить выбор данного филиала";"Тип цен";"Краткая контактная информация";"Контактная информация";Долгота;Широта;"Не выбирать данный филиал с помощью геолокации";"Порядк. №";"Филиал по умолчанию";"Выделить филиал визуально";Публичный;Заголовок;"Ключевые слова";Описание;Родитель
"Краснодарский край";krasnodarsky-krai;0;0;;;;;1;0;0;0;1;;;;
Москва;moskva;1;0;8-800-000-000-01;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";37.620393;55.753960;0;1;0;1;1;;;;
"Другой город";other;1;0;8-800-000-000-02;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";;;1;22;1;1;1;;;;
Санкт-Петербург;sanktpeterburg;1;0;8-800-000-000-03;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";30.315868;59.939095;0;9;0;1;1;;;;
Архангельск;arhangelsk;1;0;8-800-000-000-04;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";40.516939;64.539393;0;13;0;0;1;;;;
Астрахань;astrahan;1;0;8-800-000-000-05;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";48.033574;46.347869;0;2;0;0;1;;;;
Белгород;belgorod;1;0;8-800-000-000-06;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";36.588849;50.597467;0;3;0;0;1;;;;
Бийск;biysk;1;0;8-800-000-000-07;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";85.213829;52.539308;0;4;0;0;1;;;;
Благовещенск;blagoveshchensk;1;0;8-800-000-000-08;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";55.955224;55.049854;0;5;0;0;1;;;;
Брянск;bryansk;1;0;8-800-000-000-09;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";34.363731;53.243325;0;6;0;0;1;;;;
"Великий Новгород";velikiy-novgorod;1;0;8-800-000-000-10;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";31.275475;58.521475;0;7;0;0;1;;;;
Владивосток;vladivostok;1;0;8-800-000-000-11;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";131.882421;43.116391;0;8;0;0;1;;;;
Владикавказ;vladikavkaz;1;0;8-800-000-000-12;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";44.681888;43.020603;0;10;0;0;1;;;;
Владимир;vladimir;1;0;8-800-000-000-13;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";40.407030;56.129042;0;11;0;0;1;;;;
Волгоград;volgograd;1;0;8-800-000-000-14;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";44.516939;48.707103;0;12;0;0;1;;;;
Вологда;vologda;1;0;8-800-000-000-15;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";39.891568;59.220492;0;14;0;0;1;;;;
Воронеж;voronezh;1;0;8-800-000-000-16;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";39.200287;51.661535;0;15;0;0;1;;;;
Екатеринбург;ekaterinburg;1;0;8-800-000-000-17;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";60.605514;56.838607;0;16;0;1;1;;;;
Иваново;ivanovo;1;0;8-800-000-000-18;"<h3>Наш адрес</h3>
<p>350000, г. Выбранный, ул. Тестовая, 404</p>
<p>Время работы: понедельник - пятница, с 10:00 до 19:00</p>
<h3>Схема проезда</h3>
<script charset=""utf-8"" type=""text/javascript"" src=""http://api-maps.yandex.ru/services/constructor/1.0/js/?sid=9ah1ecBfrutwDo4iOmpsXyfE1n0BZDkt&amp;width=100%&amp;height=450""></script>
<h3>&nbsp;</h3>
<h3>Служба поддержки клиентов</h3>
<p>Общая служба поддержки: support@your-shop.ru</p>
<p>тел: 8-000-0000000</p>
<p>Претензионный отдел: mail@your-shop.ru</p>
<p>тел: 8-000-0000000</p>";40.973921;57.000348;0;17;0;0;1;;;;
